"","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge"
"101","Forestry and Environmental Science",1,0,0,0,"Thursday","13:00:00","15:00:00",3,"Advanced Resource Economics","ECN 204 3.0","ECN","ECN 204 3.0 Advanced Resource Economics",2,"F3","Lecture",1,0,1,NA
"102","Forestry and Environmental Science",1,0,0,0,"Thursday","13:00:00","15:00:00",3,"Advanced Resource Economics","ECN 204 3.0","ECN","ECN 204 3.0 Advanced Resource Economics",2,"F3","Lecture",1,0,1,NA
"103","Forestry and Environmental Science",1,0,0,0,"Tuesday","08:00:00","09:45:00",2,"Advanced Resource Economics","ECN 303 2.0","ECN","ECN 303 2.0 Advanced Resource Economics",3,"F1","Lecture",1,0,1,"Ms. K D De S Jayasekara"
"104","Forestry and Environmental Science",1,0,0,0,"Tuesday","08:00:00","09:45:00",2,"Advanced Resource Economics","ECN 303 2.0","ECN","ECN 303 2.0 Advanced Resource Economics",3,"F1","Lecture",1,0,1,NA
"105","Forestry and Environmental Science",1,0,0,0,"Tuesday","08:00:00","09:45:00",2,"Advanced Resource Economics","ECN 303 2.0","ECN","ECN 303 2.0 Advanced Resource Economics",3,"F1","Lecture",1,0,1,NA
"106","Forestry and Environmental Science",1,0,0,0,"Wednesday","15:00:00","17:00:00",2,"Project Planning and Analysis","ECN 304 2.0","ECN","ECN 304 2.0 Project Planning and Analysis",3,"F1","Lecture",1,0,1,"Prof. U A D P Gunawardena"
"107","Forestry and Environmental Science",1,0,0,0,"Wednesday","15:00:00","17:00:00",2,"Project Planning and Analysis","ECN 304 2.0","ECN","ECN 304 2.0 Project Planning and Analysis",3,"F1","Lecture",1,0,1,"Dr. Chandarasekara"
"108","Forestry and Environmental Science",1,0,0,0,"Wednesday","15:00:00","17:00:00",2,"Project Planning and Analysis","ECN 304 2.0","ECN","ECN 304 2.0 Project Planning and Analysis",3,"F1","Lecture",1,0,1,NA
"109","Forestry and Environmental Science",1,0,0,0,"Friday","08:00:00","08:50:00",1,"Health Economics","ECN 305 1.0","ECN","ECN 305 1.0 Health Economics",3,"F3","Lecture",1,0,1,"Ms. C T Jayaratne"
"110","Forestry and Environmental Science",1,0,0,0,"Friday","08:00:00","08:50:00",1,"Health Economics","ECN 305 1.0","ECN","ECN 305 1.0 Health Economics",3,"F3","Lecture",1,0,1,NA
"111","Forestry and Environmental Science",1,0,0,0,"Friday","08:00:00","08:50:00",1,"Health Economics","ECN 305 1.0","ECN","ECN 305 1.0 Health Economics",3,"F3","Lecture",1,0,1,NA
"112","Food Science and Tech",0,0,1,0,"Monday","08:00:00","08:50:00",1,"Principles of Organic Chemistry","FST 167 1.0","FST","FST 167 1.0 Principles of Organic Chemistry",1,"S1","Lecture",0,1,1,"Dr. Laksiri Weerasinghe"
"113","Food Science and Tech",0,0,1,0,"Monday","08:00:00","08:50:00",1,"Principles of Organic Chemistry","FST 167 1.0","FST","FST 167 1.0 Principles of Organic Chemistry",1,"S1","Lecture",0,1,1,NA
"114","Food Science and Tech",0,0,1,0,"Monday","08:00:00","08:50:00",1,"Principles of Organic Chemistry","FST 167 1.0","FST","FST 167 1.0 Principles of Organic Chemistry",1,"S1","Lecture",0,1,1,NA
"115","Food Science and Tech",0,0,1,0,"Monday","10:15:00","11:05:00",1,"Introduction To Animal Based Food products","FST 170 1.0","FST","FST 170 1.0 Introduction To Animal Based Food products",1,"NFC5","Lecture",0,1,1,"Prof. I. Wickramasinghe"
"116","Food Science and Tech",0,0,1,0,"Monday","10:15:00","11:05:00",1,"Introduction To Animal Based Food products","FST 170 1.0","FST","FST 170 1.0 Introduction To Animal Based Food products",1,"NFC5","Lecture",0,1,1,NA
"117","Food Science and Tech",0,0,1,0,"Monday","10:15:00","11:05:00",1,"Introduction To Animal Based Food products","FST 170 1.0","FST","FST 170 1.0 Introduction To Animal Based Food products",1,"NFC5","Lecture",0,1,1,NA
