Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge,Lecture.Time
31,Forestry and Environmental Science,0,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Project Planning and Analysis,EMF 331 1.0,EMF,EMF 331 1.0 Project Planning and Analysis,3,F1,Lecture,1,1,2,Prof. Prasanthi Gunawardena,13:00-15:00
34,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Integrated Resource Management,EMF 370 1.0,EMF,EMF 370 1.0 Integrated Resource Management,3,F1,Lecture,1,1,1,Prof. Prasanthi Gunawardena,13:00-15:00
37,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Forest Management,EMF 307 1.0,EMF,EMF 307 1.0 Forest Management,3,F2,Lecture,1,1,2,Prof. Upul Subasinghe,13:00-15:00
40,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Land Use Planning and Management,EMF 322 1.0,EMF,EMF 322 1.0 Land Use Planning and Management,3,F3,Lecture,1,1,1,Prof. Padma Weerakoon / Mr. B.A. Jayananda,08:00-09:45
43,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Advanced Resource Economics,EMF 359 1.0,EMF,EMF 359 1.0 Advanced Resource Economics,3,F1,Lecture,0,1,1,Prof. Prasanthi Gunawardena,13:00-15:00
46,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Forest Pathology and Entomology,EMF 318 1.0,EMF,EMF 318 1.0 Forest Pathology and Entomology,3,F1,Lecture,1,1,1,Dr. Wathsala Udari,13:00-15:00
49,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,1,Agroforestry and Social Forestry,EMF 311 1.0,EMF,EMF 311 1.0 Agroforestry and Social Forestry,3,F1,Lecture,1,1,1,Ms. Nileththi Shilpa,15:00-17:00
52,Forestry and Environmental Science,0,1,0,0,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Environmental Microbiology,EMF 353 1.0,EMF,EMF 353 1.0 Environmental Microbiology,3,SP - Forestry,Lecture,0,1,1,Snr. Prof. M. M. Pathmalal,11:10-12:00
55,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,1,Research Methodology,EMF 357 1.0,EMF,EMF 357 1.0 Research Methodology,3,SP - Forestry,Lecture,0,1,1,Prof. Upul Subasinghe,15:00-17:00
58,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Urban Forestry,EMF 371 1.0,EMF,EMF 371 1.0 Urban Forestry,3,F1,Lecture,0,1,1,Dr. Thilak Chandrathilake,13:00-15:00
