Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Mathematics ,1,0,0,0,Wednesday ,08:00,09:45,2,Univalent Functions and Conformal Mappings,MAT 485 2.0,MAT,4,SRL - Mathematics,Dr. B.V.N.C. Vidanage,Lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,10:15,12:00,2,Computational Mathematics,MAT 454 2.0,MAT,4,SRL - Mathematics,Dr. G. H. J. Lanel,Lecture ,0,1,1
Mathematics ,1,0,0,0,Thursday ,10:15,12:00,3,Fields and Galois Theory,MAT 451 3.0,MAT,4,M2,Mr. K. K. W. A. Sarath Kumara,Lecture ,0,1,1
Mathematics ,1,0,0,0,Thursday ,13:00,15:00,3,Functional Analysis,MAT 476 3.0,MAT,4,SRL - Mathematics,Dr. Prabath Silva,Lecture ,0,1,1
Mathematics ,1,0,0,0,Friday ,10:15,12:00,2,Category Theory,MAT 478 2.0,MAT,4,SRL - Mathematics,Dr. J. K. Rathnayake,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,10:15,12:00,2,Classical Mechanics,AMT 121 2.0,AMT,1,C2,Mrs. D. S. Rodrigo,Lecture ,1,0,1
Mathematics ,1,0,0,0,Wednsday ,13:00,15:00,2,Computational Mathematics,AMT 122 2.0,AMT,1,M1,Dr. R. N. P. De Silva,Lecture ,1,0,1
Mathematics ,1,0,0,0,Thursday ,08:55,09:45,1,Mathematical Modelling I,AMT 123 1.0,AMT,1,M1,Prof. R. P. K. C. M. Ranasinghe,Lecture ,1,0,1
Mathematics ,1,0,0,0,Monday ,13:00,15:00,2,Fluid Dynamics,AMT 222 2.0,AMT,2,M1,Dr. N. C. Ganegoda,Lecture ,1,0,1
Mathematics ,1,0,0,0,Tuesday ,10:15,12:00,2,Mathematical Computing,AMT 221 2.0,AMT,2,F2,Ms. T. A. H. Dilpriya,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,10:15,11:05,1,Discrete Mathematics,AMT 223 1.0,AMT,2,B3,Dr. R. P. K. De Silva,Lecture ,1,0,1
Mathematics ,1,0,0,0,Wednesday ,10:15,12:00,2,Quantum Mechanics,AMT 322 2.0,AMT,3,P1,Mrs. D. S. Rodrigo,Lecture ,1,0,1
Mathematics ,1,0,0,0,Thursday ,13:00,15:00,1,Operations Research I,AMT 323 1.0,AMT,3,P1,Dr. M. T. M. Perera,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday,10:15,12:00,2,Regression Analysis,AMT 325 2.0,AMT,3,M2,Mr. Chammika De Mel,Lecture ,1,0,1
Mathematics ,1,0,0,0,Tuesday ,08:55,12:00,2,Seminar and Report Writing,AMT 355 2.0,AMT,3,M1,Prof. K. B. M. Fonseka,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,13:00,15:00,2,Data Analysis and Preparation of Reports,AMT 378 2.0,AMT,3,M2,Mr. Jayasooriya,Lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,08:00,09:45,2,Statistical Quality Control,AMT 390 2.0,AMT,3,M1,Dr. M. T. M. Perera,Lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,10:15,12:00,2,Quantum Mechanics,AMT 322 2.0,AMT,3,P1,Mrs. D. S. Rodrigo,Lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,13:00,15:00,2,Computational Statistics,AMT 377 2.0,AMT,3,SRL - Mathematics,Dr. C. Wickramarachchi - Mr. Chammika De Mel,Lecture ,0,1,1
Mathematics ,1,0,0,0,Thursday ,10:15,12:00,2,Mathematical Modeling II,AMT 321 2.0,AMT,3,M2,Prof. R. P. K. C. M. Ranasinghe,Lecture ,0,1,1
Mathematics ,1,0,0,0,Thursday ,13:00,14:00,1,Operations Research I,AMT 323 1.0,AMT,3,P1,Dr. M. T. M. Perera,Lecture ,0,1,1
Mathematics ,1,0,0,0,Thursday ,14:00,15:00,1,Production Control,AMT 326 1.0,AMT,3,M1,Dr. M. T. M. Perera,Lecture ,0,1,2
Mathematics ,1,0,0,0,Friday ,10:15,12:00,2,Regression Analysis,AMT 325 2.0,AMT,3,M2,Mr. Chammika De Mel,Lecture ,0,1,1
Mathematics ,1,0,0,0,Friday ,13:00,16:00,2,Seminar and Report Writing,AMT 355 2.0,AMT,3,M1,Prof. K. B. M. Fonseka,Lecture ,0,1,1
Physics ,1,1,0,0,Monday ,14:00,16:00,2,Thermodynamics,PHY 108 2.0,PHY,1,PLT ,Prof. A.R. Kumarasinghe,Lecture ,1,0,1
Physics ,1,1,0,0,Tuesday ,10:15,12:00,2,Applied Electricity and Basic Electronics,PHY 107 2.0,PHY,1,S1,Mr. C.H. Manathunga,Lecture ,1,0,1
Physics ,1,1,0,0,Tuesday ,13:00,16:00,2,Practicals ,PHY 106 2.0,PHY,1,P,Prof. P.K.D.D.P. Pitigala - Dr. MLC Attygalle,Practicals,1,0,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,2,Practicals ,PHY 106 2.0,PHY,1,P,Prof. P.K.D.D.P. Pitigala - Dr. MLC Attygalle,Practicals,1,0,1
Physics ,1,1,0,0,Wednesday ,16:00,17:00,2,Mathematics for Bio Science Students,PHY 102 2.0,PHY,1,L2,Dr. Gaya Jayakody,Lecture ,1,0,1
Physics ,1,1,0,0,Thursday ,08:55,09:45,NA ,Tutorial ,PHY T ,PHY,1,PLT ,NA,Tutorial ,1,0,1
Physics ,1,1,0,0,Thursday ,16:00,17:00,2,Mathematics for Bio Science Students,PHY 102 2.1,PHY,1,L2,Dr. Gaya Jayakody,Lecture ,1,0,1
Physics ,1,1,0,0,Friday ,08:55,12:00,2,Practicals ,PHY 106 2.0,PHY,1,P ,Prof. P.K.D.D.P. Pitigala - Dr. MLC Attygalle,Practicals,1,0,1
Physics ,1,1,0,0,Friday ,13:00,16:00,2,Practicals ,PHY 106 2.1,PHY,1,P ,Prof. P.K.D.D.P. Pitigala - Dr. MLC Attygalle,Practicals,1,0,1
Physics ,1,1,0,0,Monday ,13:00,16:00,1,Practicals ,PHY 203 1.0,PHY,2,P,Dr. D.N. Jayawardane - Dr. CR Munasinghe,Practicals,1,0,1
Physics ,1,1,0,0,Monday ,13:00,16:00,1,Practicals,PHY 204 1.0,PHY,2,P,Mr. R.A.D.D. Dharmasiri - Mr. KS Mannathunga,Practicals,1,0,1
Physics ,1,1,0,0,Monday ,16:00,17:00,NA ,Tutorial ,PHY T ,PHY,2,PLT ,NA ,Tutorial ,1,0,1
Physics ,1,1,0,0,Tuesday ,10:15,11:05,1,Mathematical Physics I,PHY 206 1.0,PHY,2,PLT ,Prof. N.G.S.S. Gamage,Lecture ,1,0,1
Physics ,1,1,0,0,Tuesday ,11:10,12:00,1,Special Theory of Relativity,PHY 207 1.0,PHY,2,PLT,Dr. M.M.P.M. Fernando,Lecture ,1,0,1
Physics ,1,1,0,0,Wednesday ,08:55,12:00,1,Practicals ,PHY 203 1.0,PHY,2,P,Dr. D.N. Jayawardane - Dr. CR Munasinghe,Practicals,1,0,1
Physics ,1,1,0,0,Wednesday ,08:55,12:00,1,Practicals ,PHY 204 1.0,PHY,2,P,Mr. R.A.D.D. Dharmasiri - Mr. KS Mannathunga,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,1,Practicals ,PHY 203 1.0,PHY,2,P,Dr. D.N. Jayawardane - Dr. CR Munasinghe,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,1,Practicals ,PHY 204 1.0,PHY,2,P,Mr. R.A.D.D. Dharmasiri - Mr. KS Mannathunga,Practicals,1,0,1
Physics ,1,1,0,0,Thursday ,10:15,11:05,1,Atomic & Nuclear Physics,PHY 208 1.0,PHY,2,PLT,Dr. MLC Attygalle,Lecture ,1,0,1
Physics ,1,1,0,0,Thursday ,11:10,12:00,1,Statistical Physics I,PHY 205 1.0,PHY,2,PLT ,Dr. W.W.P. De Silva,Lecture ,1,0,1
Physics ,1,1,0,0,Friday ,13:00,16:00,1,Practicals ,PHY 203 1.0,PHY,2,P ,Dr. D.N. Jayawardane - Dr. CR Munasinghe,Practicals ,1,0,1
Physics ,1,1,0,0,Friday ,13:00,16:00,1,Practicals ,PHY 204 1.0,PHY,2,P ,Mr. R.A.D.D. Dharmasiri - Mr. KS Mannathunga,Practicals ,1,0,1
Physics ,1,1,0,0,Monday ,08:00,08:50,1,Introduction to Microprocessors,PHY 309 1.0,PHY,3,PLT ,Mr. R.A.D.D. Dharmasiri,Lecture ,1,1,1
Physics ,1,1,0,0,Monday ,08:55,09:45,1,Space Physics I,PHY 310 1.0,PHY,3,PLT,Dr. M.M.P.M. Fernando,Lecture ,1,1,1
Physics ,1,1,0,0,Monday ,13:00,16:00,1,Practicals ,PHY 307 1.0,PHY,3,P,Prof. A.R. Kumarasinghe - Dr.W.K.I.L.Wanniarachchi - Mr.C.H. Manathunga,Practicals ,1,1,1
Physics ,1,1,0,0,Monday ,13:00,16:00,1,Practicals ,PHY 308 1.0,PHY,3,P,Dr. M.M.P.M. Fernando - Dr. S. Kandeepan,Practicals ,1,1,1
Physics ,1,1,0,0,Tuesday ,08:55,09:45,1,Nanophysics,PHY 318 1.0,PHY,3,PLT ,Prof. A.R. Kumarasinghe,Lecture ,1,1,1
Physics ,1,1,0,0,Tuesday ,15:00,16:00,1,Astronomy,PHY 314 1.0,PHY,3,PLT ,Dr. CR Munasinghe,Lecture ,1,1,1
Physics ,1,1,0,0,Tuesday ,16:00,17:00,1,Industrial Physics,PHY 312 1.0,PHY,3,PLT ,Dr. D.A.S. Amarasinghe,Lecture ,1,1,1
Physics ,1,1,0,0,Wednesday ,08:55,12:00,1,Practicals ,PHY 307 1.0,PHY,3,P,Prof. A.R. Kumarasinghe - Dr.W.K.I.L.Wanniarachchi - Mr.C.H. Manathunga,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,08:55,12:00,1,Practicals ,PHY 308 1.0,PHY,3,P,Dr. M.M.P.M. Fernando - Dr. S. Kandeepan,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,1,Practicals ,PHY 307 1.0,PHY,3,P,Prof. A.R. Kumarasinghe - Dr.W.K.I.L.Wanniarachchi - Mr.C.H. Manathunga,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,1,Practicals ,PHY 308 1.0,PHY,3,P,Dr. M.M.P.M. Fernando - Dr. S. Kandeepan,Practicals ,1,0,1
Physics ,1,1,0,0,Wednesday ,16:00,17:00,1,Introduction to Computer Hardware ,PHY 311 1.0,PHY,3,UDG Lab ,Mr. KS Mannathunga,Lecture ,1,1,1
Physics ,1,1,0,0,Thursday ,08:55,12:00,1,Practicals ,PHY 307 1.0,PHY,3,P,Prof. A.R. Kumarasinghe - Dr.W.K.I.L.Wanniarachchi - Mr.C.H. Manathunga,Practicals ,1,0,1
Physics ,1,1,0,0,Thursday ,08:55,12:00,1,Practicals ,PHY 308 1.0,PHY,3,P,Dr. M.M.P.M. Fernando - Dr. S. Kandeepan,Practicals ,1,0,1
Physics ,1,1,0,0,Friday ,08:55,09:45,NA ,Tutorial ,PHY T ,PHY,3,PLT,NA ,Tutorial ,1,0,1
Physics ,1,1,0,0,Tuesday ,08:00,08:50,1,Metrology,PHY 315 1.0,PHY,3,Activity Room - Physics,Dr. G.W.C. Wijayasundara,Lecture ,0,1,1
Physics ,1,1,0,0,Tuesday ,10:15,12:00,2,Nuclear Physics,PHY 358 2.0,PHY,3,Activity Room - Physics,Prof. P.K.D.D.P. Pitigala,Lecture ,0,1,1
Physics ,1,1,0,0,Wednesday ,08:55,12:00,2,Geophysics II,PHY 357 2.0,PHY,3,Activity Room - Physics,Prof. N.G.S.S. Gamage,Lecture ,0,1,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,4,Practicals ,PHY 355 4.0,PHY,3,P,Prof. N.G.S.S. Gamage - Dr. W.W.P. De Silva,Practicals,0,1,1
Physics ,1,1,0,0,Thursday ,08:55,12:00,4,Practicals ,PHY 355 4.1,PHY,3,P,Prof. N.G.S.S. Gamage - Dr. W.W.P. De Silva,Practicals,0,1,1
Physics ,1,1,0,0,Thursday ,08:55,12:00,4,Practicals ,PHY 355 4.2,PHY,3,P,Prof. N.G.S.S. Gamage - Dr. W.W.P. De Silva,Practicals,0,1,1
Physics ,1,1,0,0,Friday ,08:00,12:00,2,Solid State Physics II,PHY 356 2.0,PHY,3,Activity Room - Physics,Dr. D.N. Jayawardane,Lecture ,0,1,1
Physics ,1,1,0,0,Friday ,13:00,16:00,2,Workshop Training,PHY 360 2.0,PHY,3,NA ,Prof. P.K.D.D.P. Pitigala,Lecture ,0,1,1
Physics ,1,1,0,0,Monday ,13:00,16:00,2,Seminar 2 Activities,PHY 459 2.0,PHY,4,Activity Room - Physics,Dr. W.W.P. De Silva,Lecture ,0,1,1
Physics ,1,1,0,0,Tuesday ,08:55,12:00,3,Quantum Mechanics II,PHY 456 3.0,PHY,4,SLH - Physics,Dr. S. Kandeepan,Lecture ,0,1,1
Physics ,1,1,0,0,Tuesday ,13:00,16:00,2,Space and Atmospheric Physics,PHY 458 2.0,PHY,4,UDG Lab,Dr. M.M.P.M. Fernando,Lecture ,0,1,1
Physics ,1,1,0,0,Wednesday ,13:00,16:00,2,Seminar 2 Activities,PHY 459 2.0,PHY,4,Activity Room - Physics,Dr. W.W.P. De Silva,Lecture ,0,1,1
Physics ,1,1,0,0,Friday ,08:55,12:00,2,Particle Physics and Instrumentation,PHY 457 2.0,PHY,4,SLH - Physics,Dr. W.W.P. De Silva,Lecture ,0,1,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
