Department,Day,Time Slot,Total Number of Lectures
Sports Science,Saturday,08:55-09:45,1
Sports Science,Saturday,10:15-11:05,1
Sports Science,Saturday,11:10-12:00,1
Sports Science,Saturday,13:00-14:00,1
Sports Science,Saturday,14:00-15:00,1
Sports Science,Saturday,15:00-16:00,1
Sports Science,Saturday,16:00-17:00,1
Sports Science,Thursday,08:00-08:50,3
Sports Science,Thursday,08:55-09:45,3
Sports Science,Thursday,10:15-11:05,3
Sports Science,Thursday,11:10-12:00,3
Sports Science,Thursday,13:00-14:00,3
Sports Science,Thursday,14:00-15:00,2
Sports Science,Tuesday,08:00-08:50,1
Sports Science,Tuesday,08:55-09:45,1
Sports Science,Tuesday,10:15-11:05,2
Sports Science,Tuesday,11:10-12:00,2
Sports Science,Tuesday,13:00-14:00,2
Sports Science,Tuesday,14:00-15:00,2
Sports Science,Tuesday,15:00-16:00,2
Sports Science,Wednesday,08:00-08:50,2
Sports Science,Wednesday,08:55-09:45,2
Sports Science,Wednesday,10:15-11:05,3
Sports Science,Wednesday,11:10-12:00,3
Sports Science,Wednesday,13:00-14:00,3
Sports Science,Wednesday,14:00-15:00,3
Sports Science,Wednesday,15:00-16:00,2
Sports Science,Wednesday,16:00-17:00,1
Statistics,Friday,08:00-08:50,1
Statistics,Friday,08:55-09:45,1
Statistics,Friday,10:15-11:05,3
Statistics,Friday,11:10-12:00,3
Statistics,Friday,13:00-14:00,1
Statistics,Friday,14:00-15:00,1
Statistics,Monday,08:00-08:50,1
Statistics,Monday,08:55-09:45,1
Statistics,Monday,10:15-11:05,2
Statistics,Monday,11:10-12:00,2
Statistics,Monday,13:00-14:00,1
Statistics,Monday,14:00-15:00,1
Statistics,Monday,15:00-16:00,1
Statistics,Monday,16:00-17:00,2
Statistics,Thursday,08:00-08:50,3
Statistics,Thursday,08:55-09:45,3
Statistics,Thursday,10:15-11:05,2
Statistics,Thursday,11:10-12:00,2
Statistics,Thursday,13:00-14:00,1
Statistics,Thursday,14:00-15:00,1
Statistics,Tuesday,08:00-08:50,1
Statistics,Tuesday,08:55-09:45,1
Statistics,Tuesday,10:15-11:05,2
Statistics,Tuesday,11:10-12:00,2
Statistics,Tuesday,13:00-14:00,3
Statistics,Tuesday,14:00-15:00,3
Statistics,Tuesday,15:00-16:00,1
Statistics,Tuesday,16:00-17:00,1
Statistics,Wednesday,08:00-08:50,2
Statistics,Wednesday,08:55-09:45,2
Statistics,Wednesday,10:15-11:05,2
Statistics,Wednesday,11:10-12:00,2
Statistics,Wednesday,13:00-14:00,1
Statistics,Wednesday,14:00-15:00,1
Statistics,Wednesday,16:00-17:00,1
Zoology,Friday,08:55-09:45,1
Zoology,Friday,10:15-11:05,1
Zoology,Friday,11:10-12:00,1
Zoology,Friday,13:00-14:00,2
Zoology,Friday,14:00-15:00,1
Zoology,Monday,08:00-08:50,3
Zoology,Monday,08:55-09:45,2
Zoology,Monday,10:15-11:05,1
Zoology,Monday,11:10-12:00,1
Zoology,Monday,13:00-14:00,1
Zoology,Monday,14:00-15:00,3
Zoology,Monday,15:00-16:00,1
Zoology,Saturday,08:55-09:45,1
Zoology,Saturday,10:15-11:05,1
Zoology,Saturday,11:10-12:00,1
Zoology,Thursday,08:00-08:50,1
Zoology,Thursday,08:55-09:45,1
Zoology,Thursday,10:15-11:05,4
Zoology,Thursday,11:10-12:00,3
Zoology,Tuesday,08:55-09:45,1
Zoology,Tuesday,10:15-11:05,1
Zoology,Tuesday,11:10-12:00,2
Zoology,Tuesday,13:00-14:00,2
Zoology,Tuesday,14:00-15:00,2
Zoology,Tuesday,16:00-17:00,1
Zoology,Wednesday,08:00-08:50,1
Zoology,Wednesday,08:55-09:45,1
Zoology,Wednesday,11:10-12:00,1
Zoology,Wednesday,13:00-14:00,2
Zoology,Wednesday,14:00-15:00,2
Zoology,Wednesday,16:00-17:00,1
