Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Forestry and Environmental Science,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Project Planning and Analysis,ECN 304 2.0,ECN,ECN 304 2.0 Project Planning and Analysis,3,F1,Lecture,Prof. U A D P Gunawardena / Dr. Chandarasekara,15:00-17:00,General,Physical
Forestry and Environmental Science,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Health Economics,ECN 305 1.0,ECN,ECN 305 1.0 Health Economics,3,F3,Lecture,Ms. C T Jayaratne,08:00-08:50,General,Physical
Food Science and Tech,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Principles of Organic Chemistry,FST 167 1.0,FST,FST 167 1.0 Principles of Organic Chemistry,1,S1,Lecture,Dr. Laksiri Weerasinghe,08:00-08:50,Special,Food Science
Food Science and Tech,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Introduction To Animal Based Food products,FST 170 1.0,FST,FST 170 1.0 Introduction To Animal Based Food products,1,NFC5,Lecture,Prof. I. Wickramasinghe,10:15-11:05,Special,Food Science
Food Science and Tech,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Introduction To Animal Based Food products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Animal Based Food products,1,NFC5,Lecture,Prof. I. Wickramasinghe,10:15-11:05,General,Biology
Food Science and Tech,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Introduction To Crop Based Food Products,FST 175 1.0,FST,FST 175 1.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,Dr. Madhura Jayasinghe,11:10-12:00,Special,Food Science
Food Science and Tech,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Introduction To Crop Based Food Products,FSC 122 2.0,FSC,FSC 122 2.0 Introduction To Crop Based Food Products,1,NFC5,Lecture,Dr. Madhura Jayasinghe,11:10-12:00,General,Biology
Food Science and Tech,Monday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Chemistry of Living system,FST 163 1.0,FST,FST 163 1.0 Chemistry of Living system,1,NFC5,Lecture,Prof. Jagath Wansapala,15:00-16:00,Special,Food Science
Food Science and Tech,Monday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Basics of Biochemistry,FSC 131 1.0,FSC,FSC 131 1.0 Basics of Biochemistry,1,NFC5,Lecture,Prof. Jagath Wansapala,15:00-16:00,General,Biology
Food Science and Tech,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Introduction to Analytical Chemistry,FST 164 2.0,FST,FST 164 2.0 Introduction to Analytical Chemistry,1,S1,Lecture,Dr. Asitha Cooray,08:00-08:50,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Principles of Physics II,FST 180 1.0,FST,FST 180 1.0 Principles of Physics II,1,NFC2,Lecture,Mr. Chehan Yapa,11:10-12:00,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Applied Human Nutrition,FST 169 1.0,FST,FST 169 1.0 Applied Human Nutrition,1,NFC2,Lecture,Dr. Madhura Jayasinghe,13:00-14:00,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Organizational Behavior,FST 158 1.0,FST,FST 158 1.0 Organizational Behavior,1,NFC2,Lecture,Dr. Dulani Somendrika,14:00-15:00,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T16:00:00Z,1970-01-01T17:00:00Z,Chemical Thermodynamics,FST 165 1.0,FST,FST 165 1.0 Chemical Thermodynamics,1,S1,Lecture,Not Stated,16:00-17:00,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Food Microbiology,FST 187 2.0,FST,FST 187 2.0 Food Microbiology,1,NFC2,Lecture,Prof. R.A.U.J. Marapana,10:15-12:00,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Food Business Management II,FSC 112 1.0,FSC,FSC 112 1.0 Food Business Management II,1,NFC2,Lecture,Dr. Piumi Abeysundara,13:00-14:00,General,Biology
Food Science and Tech,Wednesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Business Economics,FST 159 1.0,FST,FST 159 1.0 Business Economics,1,NFC2,Lecture,VL,14:00-15:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,Practicals,FST P,FST,FST P Practicals,1,P,Practicals,NA,08:55-16:00,Special,Food Science
Food Science and Tech,Monday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Post Harvest Management of Animal Commodities,FST 267 1.0,FST,FST 267 1.0 Post Harvest Management of Animal Commodities,2,NFC5,Lecture,Prof. I. Wickramasinghe,08:55-09:45,Special,Food Science
Food Science and Tech,Monday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Dietetics I,FST 268 1.0,FST,FST 268 1.0 Dietetics I,2,NFC5,Lecture,Dr. Madhura Jayasinghe,13:00-14:00,Special,Food Science
